id,name,rows,columns,theater_id,creationDate,updatedOn
1,Dablist,7,9,1,12/27/2020,10/16/2020
2,Brainbox,7,9,2,7/21/2020,10/22/2020
3,Edgetag,7,9,3,12/2/2020,6/7/2020
4,Livepath,7,9,4,8/20/2020,8/24/2020
5,Jamia,7,9,5,9/29/2020,12/1/2020
6,Roodel,7,9,6,3/16/2021,9/14/2020
7,Fadeo,7,9,7,12/26/2020,7/8/2020
8,Eire,7,9,8,7/29/2020,9/29/2020
9,Zoovu,7,9,9,10/19/2020,6/3/2020
10,Zoonder,7,9,10,11/29/2020,8/5/2020
11,Eidel,7,9,11,3/8/2021,6/17/2020
12,Zazio,7,9,12,10/20/2020,1/5/2021
13,Mydeo,7,9,13,7/7/2020,4/10/2021
14,Feedspan,7,9,14,12/4/2020,4/9/2021
15,Devify,7,9,15,12/2/2020,4/17/2021
16,Oozz,7,9,16,1/23/2021,10/15/2020
17,Dabshots,7,9,17,9/20/2020,1/6/2021
18,Trudeo,7,9,18,7/16/2020,4/1/2021
19,Miboo,7,9,19,8/12/2020,1/31/2021
20,Kwideo,7,9,20,12/24/2020,5/13/2021
